rht-business |192.168.0.112 |2023-07-12 10:28:00.875 |  INFO | main | org.springframework.boot.web.embedded.jetty.JettyWebServer : 157 | Jetty started on port(s) 8055 (http/1.1) with context path '/'
rht-business |192.168.0.112 |2023-07-12 10:28:00.890 |  INFO | main | com.alibaba.cloud.nacos.registry.NacosServiceRegistry : 65 | nacos registry, DEFAULT_GROUP rht-business 192.168.0.112:8055 register finished
rht-business |192.168.0.112 |2023-07-12 10:28:00.893 |  INFO | main | org.springframework.boot.StartupInfoLogger : 61 | Started RhtBusinessApplication in 3.706 seconds (JVM running for 4.516)
rht-business |192.168.0.112 |2023-07-12 10:29:43.449 |  INFO | SpringContextShutdownHook | org.springframework.scheduling.concurrent.ExecutorConfigurationSupport : 208 | Shutting down ExecutorService 'taskScheduler'
rht-business |192.168.0.112 |2023-07-12 10:29:43.450 |  INFO | SpringContextShutdownHook | org.springframework.integration.endpoint.EventDrivenConsumer : 107 | Removing {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
rht-business |192.168.0.112 |2023-07-12 10:29:43.450 |  INFO | SpringContextShutdownHook | org.springframework.integration.channel.AbstractSubscribableChannel : 64 | Channel 'rht-business-1.errorChannel' has 0 subscriber(s).
rht-business |192.168.0.112 |2023-07-12 10:29:43.450 |  INFO | SpringContextShutdownHook | org.springframework.integration.endpoint.AbstractEndpoint : 193 | stopped bean '_org.springframework.integration.errorLogger'
rht-business |192.168.0.112 |2023-07-12 10:29:43.458 |  INFO | SpringContextShutdownHook | com.alibaba.cloud.nacos.registry.NacosServiceRegistry : 80 | De-registering from Nacos Server now...
rht-business |192.168.0.112 |2023-07-12 10:29:43.464 |  INFO | SpringContextShutdownHook | com.alibaba.cloud.nacos.registry.NacosServiceRegistry : 100 | De-registration finished.
rht-business |192.168.0.112 |2023-07-12 10:29:43.466 |  INFO | SpringContextShutdownHook | org.springframework.scheduling.concurrent.ExecutorConfigurationSupport : 208 | Shutting down ExecutorService 'applicationTaskExecutor'
rht-business |192.168.0.112 |2023-07-12 10:29:43.467 |  INFO | Thread-23 | com.xxl.job.core.server.EmbedServer$1 : 91 | >>>>>>>>>>> xxl-job remoting server stop.
rht-business |192.168.0.112 |2023-07-12 10:29:43.478 |  INFO | xxl-job, executor ExecutorRegistryThread | com.xxl.job.core.thread.ExecutorRegistryThread$1 : 87 | >>>>>>>>>>> xxl-job registry-remove success, registryParam:RegistryParam{registryGroup='EXECUTOR', registryKey='order-center-executor', registryValue='http://172.17.149.178:9999/'}, registryResult:ReturnT [code=200, msg=null, content=null]
rht-business |192.168.0.112 |2023-07-12 10:29:43.478 |  INFO | xxl-job, executor ExecutorRegistryThread | com.xxl.job.core.thread.ExecutorRegistryThread$1 : 105 | >>>>>>>>>>> xxl-job, executor registry thread destroy.
rht-business |192.168.0.112 |2023-07-12 10:29:43.478 |  INFO | SpringContextShutdownHook | com.xxl.job.core.server.EmbedServer : 117 | >>>>>>>>>>> xxl-job remoting server destroy success.
rht-business |192.168.0.112 |2023-07-12 10:29:43.478 |  INFO | xxl-job, executor JobLogFileCleanThread | com.xxl.job.core.thread.JobLogFileCleanThread$1 : 99 | >>>>>>>>>>> xxl-job, executor JobLogFileCleanThread thread destroy.
